"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO"
"CLI0040559757";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0048495360";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0046833633";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0046566477";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0080553546";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0020658301";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0073066494";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0043249130";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0019813076";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0080353887";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0021574574";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0024485537";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0046896122";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0020106525";"3_30_40";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE"
"CLI0029363833";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0047315833";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0008548887";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0003893354";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0047014618";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0004069845";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0045552201";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0020121742";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0010466850";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0043381367";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0046241431";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0047318304";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0047910879";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER"
"CLI0048121408";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0019098668";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0047812289";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0009366882";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0030424467";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0006666150";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0001115783";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0002892215";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0045960242";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0080447461";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0041082618";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0009687832";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0043603632";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0040273866";"3_30_40";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE"
"CLI0010650936";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0009349163";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0080192357";"3_30_40";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0042087911";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE"
"CLI0023259072";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0040585861";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0009349519";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0028290661";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0025834993";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0009924220";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0001296183";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0047339561";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0479115177";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER"
"CLI0002651580";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0047589866";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0009395511";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0021447395";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"MUJER"
"CLI0010258039";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0047623491";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0046718057";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0032119228";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0020038115";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0029457516";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0008517823";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0045912106";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0048111677";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER"
"CLI0045565755";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0023997029";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0047701905";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0009824623";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0004307189";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0042123426";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0045820003";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0041685505";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0008161220";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0019681403";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0006326096";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";"MUJER"
"CLI0005397564";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0044110339";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0009879871";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0070285473";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0043178231";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0044196226";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0022291773";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0045126924";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0042773907";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0074659726";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0047566848";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0041347041";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0009619419";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0008136982";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0000432126";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0020108595";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0032867899";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0044105190";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0070890085";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0018847883";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0000009890";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0009715409";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0041647213";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0025502401";"4_PLUS40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0044670977";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0073866502";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0002626510";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0016598080";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0043408709";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0041597777";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0023987182";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0042979861";"2_MINUS30";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0042694348";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0040756915";"3_30_40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0009946501";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0010055052";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0044538581";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0041857714";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0007492410";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0018060979";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0022244709";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0006586948";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0000202401";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0021541318";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0028305158";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0043453092";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0043255573";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0029451213";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0009583992";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0070930058";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0040540899";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0008087919";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0032868468";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0018225837";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0045299533";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0021866095";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0006776418";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0041852219";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0047577026";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0009820984";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0015983754";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0016713766";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0075336797";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0045203390";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0048426336";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0023994525";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0045720206";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0042849083";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0043010496";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0010714095";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0045011109";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0009515115";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0008738429";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0021781048";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0007816958";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0070499323";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0043229535";"2_MINUS30";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0040206627";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0047250137";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0005316433";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0040894243";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0048098976";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0009446565";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0041360974";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0007169427";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0044028415";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0045948119";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0060802712";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0010065358";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0048309468";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0044916395";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0046211370";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0070751656";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0016155606";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0045030150";"3_30_40";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0040936115";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0016769941";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0026686021";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0041626093";"3_30_40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0072184216";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0025802033";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0048193660";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0043094522";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0043070363";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0046923923";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0030827072";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0007284869";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0041771519";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0004435872";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0043300436";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0070537266";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0009188842";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0021790208";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0009679165";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0026673212";"4_PLUS40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0023276284";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0042302012";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0047885481";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0009889755";"3_30_40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0000966242";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0020073322";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0004055401";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0041371407";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0003372125";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0041381611";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0072965483";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0072977004";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0022314021";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0009665667";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0042096836";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0040817660";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0006806314";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0005620007";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0000507930";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0020120875";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0040064436";"3_30_40";"SOLTERO";"PRIMARIA";">=2000";"HOMBRE"
"CLI0017636522";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0006204462";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0000066849";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0040536530";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"HOMBRE"
"CLI0017568831";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0000216521";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0040016178";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0041059135";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0074477098";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0044513372";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0004400120";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0006108475";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0025531287";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0008066469";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0080309899";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0072564404";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0010559069";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0025620901";"4_PLUS40";"CASADO";"SECUNDARIA";"<600";"MUJER"
"CLI0047524948";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0040887207";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0072259467";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0021854217";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0042347201";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0016748195";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0060059712";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0008416417";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0046013753";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"MUJER"
"CLI0042791036";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0041752510";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0043987393";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0025764801";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0009137329";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0015596190";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0032864117";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0023201652";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0042765621";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0045152263";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0004827133";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0044596134";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0043702065";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0045965093";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0048015307";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0032949660";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0040103684";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0021844896";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0043018003";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0045132175";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0021519621";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0006285492";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0076292748";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"MUJER"
"CLI0009896027";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";"MUJER"
"CLI0041554346";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0040550319";"3_30_40";"CASADO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0044101342";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0071242336";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0002607481";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0077065538";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0007475165";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0080411225";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0046638334";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";"HOMBRE"
